title,release_date,rating,director,writer,genres,runtime,original_language,budget,revenue
Hayalet Avcıları,29/07/2016 (TR),54,Paul Feig,,"Aksiyon,Fantastik,Komedi",1h 56m,İngilizce,"$144,000,000.00","$229,147,509.00"
Terminatör,15/01/1988 (TR),77,James Cameron,James Cameron,"Aksiyon,Gerilim,Bilim-Kurgu",1h 48m,İngilizce,"$6,400,000.00","$78,371,200.00"
Joker,04/10/2019 (TR),82,Todd Phillips,Todd Phillips,"Suç,Gerilim,Dram",2h 2m,İngilizce,"$55,000,000.00","$1,078,958,629.00"
Yıldızlararası,07/11/2014 (TR),84,Christopher Nolan,Christopher Nolan,"Macera,Dram,Bilim-Kurgu",2h 49m,İngilizce,"$165,000,000.00","$701,729,206.00"
Kırmızı,11/03/2022 (TR),74,Domee Shi,,"Animasyon,Aile,Komedi,Fantastik",1h 40m,İngilizce,"$175,000,000.00","$21,328,962.00"
Spitfire Over Berlin,06/09/2022 (US),39,Callum Burn,Callum Burn,"Savaş,Aksiyon,Tarih",1h 20m,İngilizce,-,-
,20/05/2022 (VN),54,Lương Đình Dũng,Lương Đình Dũng,"Aksiyon,Gerilim",1h 48m,Vietnamca,-,-
Iron Man 2,07/05/2010 (US),68,Jon Favreau,,"Macera,Aksiyon,Bilim-Kurgu",2h 5m,İngilizce,"$200,000,000.00","$623,933,331.00"
Tenet,26/08/2020 (TR),72,Christopher Nolan,Christopher Nolan,"Aksiyon,Gerilim,Bilim-Kurgu",2h 30m,İngilizce,"$205,000,000.00","$365,304,105.00"
Yıldız Savaşları: Yeni Umut,28/03/1997 (TR),82,George Lucas,George Lucas,"Macera,Aksiyon,Bilim-Kurgu",2h 5m,İngilizce,"$11,000,000.00","$775,398,007.00"
Furiosa: Bir Mad Max Destanı,24/05/2024 (TR),82,George Miller,George Miller,"Bilim-Kurgu,Aksiyon,Macera",2h 28m,İngilizce,"$150,000,000.00",-
Rekabet,26/04/2024 (TR),74,Luca Guadagnino,,"Romantik,Dram",2h 12m,İngilizce,"$55,000,000.00","$68,036,634.00"
,16/06/2023 (TR),67,Andy Muschietti,,"Aksiyon,Macera,Bilim-Kurgu",2h 24m,İngilizce,"$220,000,000.00","$271,333,313.00"
The Promised Neverland,18/12/2020 (JP),73,Yuichiro Hirakawa,,"Aksiyon,Gerilim,Fantastik,Gizem,Macera,Dram",1h 59m,Japonca,-,-
"Not Love, Just Frenzy",15/11/1996 (ES),56,Miguel Bardem,,"Komedi,Dram,Romantik,Gerilim",2h 5m,İspanyolca; Kastilyaca,-,-
The Batman,04/03/2022 (TR),77,Matt Reeves,Matt Reeves,"Suç,Gizem,Gerilim",2h 57m,İngilizce,"$185,000,000.00","$771,000,000.00"
,03/09/1999 (TR),82,Lilly Wachowski,Lilly Wachowski,"Aksiyon,Bilim-Kurgu",2h 16m,İngilizce,"$63,000,000.00","$463,517,383.00"
,12/02/2016 (TR),76,Tim Miller,Paul Wernick,"Aksiyon,Macera,Komedi",1h 48m,İngilizce,"$58,000,000.00","$782,837,347.00"
Damaged,12/04/2024 (US),49,Terry McDonough,Paul Aniello,"Aksiyon,Suç,Gerilim",1h 38m,İngilizce,-,-
Üç Silahşörler: Milady,13/12/2023 (FR),65,Martin Bourboulon,Matthieu Delaporte,"Macera,Aksiyon,Dram",1h 55m,Fransızca,"$39,000,000.00","$21,730,766.00"
Gelinin Annesi,09/05/2024 (US),59,Mark Waters,Robin Jill Bernheim,"Romantik,Komedi",1h 30m,İngilizce,-,-
,05/06/2019 (TR),60,Simon Kinberg,Simon Kinberg,"Bilim-Kurgu,Aksiyon,Macera",1h 54m,İngilizce,"$200,000,000.00","$252,442,974.00"
Av,02/12/1988 (TR),75,John McTiernan,,"Bilim-Kurgu,Aksiyon,Macera,Gerilim",1h 47m,İngilizce,"$15,000,000.00","$98,267,558.00"
Dehşet Yolcuları,29/03/2024 (TR),58,Julien Leclercq,,"Aksiyon,Gerilim",1h 47m,Fransızca,-,-
,26/04/2024 (US),51,Stefon Bristol,Doug Simon,"Bilim-Kurgu,Gizem,Gerilim",1h 33m,İngilizce,-,-
,12/11/2018 (US),68,Susanne Bier,,"Korku,Gerilim,Dram",2h 4m,İngilizce,"$19,800,000.00",-
Wonder Woman,02/06/2017 (TR),72,Patty Jenkins,,"Aksiyon,Macera,Fantastik",2h 21m,İngilizce,"$149,000,000.00","$823,970,682.00"
,15/12/2023 (TR),72,Paul King,,"Komedi,Aile,Fantastik",1h 57m,İngilizce,"$125,000,000.00","$632,302,312.00"
Ucuz Roman,14/04/1995 (TR),85,Quentin Tarantino,,"Gerilim,Suç",2h 34m,İngilizce,"$8,500,000.00","$213,900,000.00"
,16/02/2018 (TR),74,Ryan Coogler,Ryan Coogler,"Aksiyon,Macera,Bilim-Kurgu",2h 18m,İngilizce,"$200,000,000.00","$1,349,926,083.00"
Geliş,11/11/2016 (TR),76,Denis Villeneuve,,"Dram,Bilim-Kurgu,Gizem",1h 56m,İngilizce,"$47,000,000.00","$203,388,186.00"
Captain Marvel,08/03/2019 (TR),68,Anna Boden,,"Aksiyon,Macera,Bilim-Kurgu",2h 7m,İngilizce,"$152,000,000.00","$1,131,416,446.00"
2001: Uzay Yolu Macerası,19/11/1973 (TR),81,Stanley Kubrick,,"Bilim-Kurgu,Gizem,Macera",2h 29m,İngilizce,"$12,000,000.00","$71,923,560.00"
Başlangıç,30/07/2010 (TR),84,Christopher Nolan,Christopher Nolan,"Aksiyon,Bilim-Kurgu,Macera",2h 28m,İngilizce,"$160,000,000.00","$825,532,764.00"
X,17/06/2022 (TR),67,Ti West,Ti West,"Korku,Gerilim,Gizem",1h 46m,İngilizce,"$1,000,000.00","$14,740,889.00"
,10/11/2023 (TR),61,Nia DaCosta,Nia DaCosta,"Bilim-Kurgu,Macera,Aksiyon",1h 45m,İngilizce,"$274,800,000.00","$207,089,999.00"
Ters Yüz 2,14/06/2024 (TR),0,Kelsey Mann,Meg LeFauve,"Animasyon,Aile,Dram,Macera,Fantastik",1h 36m,İngilizce,-,-
Yaratık,01/11/1981 (TR),82,Ridley Scott,,"Korku,Bilim-Kurgu",1h 57m,İngilizce,"$11,000,000.00","$104,931,801.00"
Logan: Wolverine,03/03/2017 (TR),78,James Mangold,,"Aksiyon,Dram,Bilim-Kurgu",2h 17m,İngilizce,"$97,000,000.00","$619,021,436.00"
,27/10/2017 (TR),76,Taika Waititi,Eric Pearson,"Aksiyon,Macera,Bilim-Kurgu",2h 11m,İngilizce,"$180,000,000.00","$855,301,806.00"
Yerçekimi,11/10/2013 (TR),72,Alfonso Cuarón,Alfonso Cuarón,"Bilim-Kurgu,Gerilim,Dram",1h 31m,İngilizce,"$105,000,000.00","$723,192,705.00"
The Coffee Table,01/06/2022 (ES),68,Caye Casas,Caye Casas,"Korku,Gerilim,Komedi",1h 31m,İspanyolca; Kastilyaca,-,"$16,630.00"
Korku Şovu,10/11/1982 (US),69,George A. Romero,,"Korku,Komedi",2h,İngilizce,"$8,000,000.00","$21,028,755.00"
Venom: Zehirli Öfke,05/10/2018 (TR),68,Ruben Fleischer,,"Bilim-Kurgu,Aksiyon",1h 52m,İngilizce,"$116,000,000.00","$856,085,151.00"
Gerçeğe Çağrı,03/08/2012 (US),60,Len Wiseman,,"Aksiyon,Bilim-Kurgu,Gerilim",1h 58m,İngilizce,"$125,000,000.00","$198,800,000.00"
Deadpool 2,18/05/2018 (TR),75,David Leitch,Paul Wernick,"Aksiyon,Komedi,Macera",2h,İngilizce,"$110,000,000.00","$785,896,632.00"
Cadılar Bayramı,26/10/2018 (TR),66,David Gordon Green,Jeff Fradley,"Korku,Gerilim",1h 46m,İngilizce,"$10,000,000.00","$259,900,000.00"
Yaralı Yüz,09/12/1983 (US),82,Brian De Palma,,"Aksiyon,Suç,Dram",2h 50m,İngilizce,"$25,000,000.00","$66,023,329.00"
Yargıç,30/06/1995 (US),58,Danny Cannon,,Bilim-Kurgu,1h 31m,İngilizce,"$90,000,000.00","$113,493,481.00"
Sükût,23/12/2016 (US),71,Martin Scorsese,,"Dram,Tarih",2h 41m,İngilizce,"$46,000,000.00","$23,700,000.00"
,16/10/1998 (TR),73,Alex Proyas,,"Gizem,Bilim-Kurgu",1h 52m,İngilizce,"$27,000,000.00","$27,200,000.00"
,19/10/2001 (TR),57,Tim Burton,,"Gerilim,Bilim-Kurgu,Aksiyon,Macera",2h 1m,İngilizce,"$100,000,000.00","$362,211,740.00"
,10/09/2021 (TR),66,Cedric Nicolas-Troyan,Umair Aleem,Aksiyon,1h 46m,İngilizce,-,-
Hayalet Avcıları,08/06/1984 (US),75,Ivan Reitman,,"Komedi,Fantastik",1h 45m,İngilizce,"$30,000,000.00","$296,187,079.00"
Uğur Böceği,02/03/2018 (TR),73,Greta Gerwig,Greta Gerwig,"Dram,Komedi",1h 34m,İngilizce,"$10,000,000.00","$79,000,000.00"
,08/08/1986 (US),79,Rob Reiner,,"Suç,Dram",1h 29m,İngilizce,"$8,000,000.00","$52,300,000.00"
Avengers: Sonsuzluk Savaşı,27/04/2018 (TR),82,Anthony Russo,,"Macera,Aksiyon,Bilim-Kurgu",2h 34m,İngilizce,"$300,000,000.00","$2,052,415,039.00"
Mad Max: Fury Road,15/05/2015 (TR),76,George Miller,George Miller,"Aksiyon,Macera,Bilim-Kurgu",2h 1m,İngilizce,"$150,000,000.00","$378,858,340.00"
Benim Hikayem,06/05/2020 (US),74,Nadia Hallgren,,Belgesel,1h 29m,İngilizce,-,-
Taksi Şoförü,09/02/1976 (US),82,Martin Scorsese,,"Suç,Dram",1h 54m,İngilizce,"$1,900,000.00","$28,579,636.00"
Arthur the King,15/03/2024 (US),69,Simon Cellan Jones,Michael Brandt,"Dram,Macera",1h 47m,İngilizce,"$19,000,000.00","$31,649,885.00"
,12/02/1999 (TR),68,Stephen Norrington,David S. Goyer,"Korku,Aksiyon",2h 1m,İngilizce,"$45,000,000.00","$131,183,530.00"
,03/10/1997 (US),66,Oliver Stone,,"Suç,Dram,Gerilim",2h 5m,İngilizce,"$19,000,000.00","$6,682,098.00"
,22/09/1995 (TR),60,Roger Donaldson,,"Bilim-Kurgu,Korku,Aksiyon",1h 48m,İngilizce,"$35,000,000.00","$113,400,000.00"
,26/03/2021 (US),80,Ilya Naishuller,,"Aksiyon,Gerilim",1h 32m,İngilizce,"$17,000,000.00","$61,779,301.00"
Land of Bad,25/01/2024 (AU),73,William Eubank,,"Aksiyon,Gerilim,Savaş",1h 53m,İngilizce,"$18,000,000.00","$6,461,949.00"
Kapan,21/04/2017 (TR),76,Jordan Peele,Jordan Peele,"Gizem,Gerilim,Korku",1h 44m,İngilizce,"$4,500,000.00","$255,407,969.00"
Işığın Bittiği Yer,20/04/1990 (TR),73,James Cameron,James Cameron,"Macera,Aksiyon,Gerilim,Bilim-Kurgu",2h 51m,İngilizce,"$70,000,000.00","$90,000,098.00"
Halka 3,03/02/2017 (US),50,F. Javier Gutiérrez,,Korku,1h 42m,İngilizce,"$25,000,000.00","$83,080,890.00"
Küçülen Hayatlar,05/01/2018 (TR),53,Alexander Payne,,"Dram,Bilim-Kurgu",2h 15m,İngilizce,"$68,000,000.00","$55,003,890.00"
Tanrıların Yaratılışı I: Fırtınalar Krallığı,20/07/2023 (CN),71,Wuershan,Wuershan,"Aksiyon,Fantastik,Savaş",2h 28m,Çince,"$85,000,000.00","$369,081,777.00"
Return of Special Forces 5,10/07/2021 (CN),60,Jie Hou,,Aksiyon,1h 37m,Çince,-,-
Creed II: Efsane Yükseliyor,11/01/2019 (TR),70,Steven Caple Jr.,,"Dram,Aksiyon",2h 10m,İngilizce,"$50,000,000.00","$214,200,000.00"
Aquaman,28/12/2018 (TR),69,James Wan,,"Aksiyon,Macera,Fantastik",2h 23m,İngilizce,"$160,000,000.00","$1,152,028,393.00"
Cadılar Bayramı,25/10/1978 (US),76,John Carpenter,,"Korku,Gerilim",1h 31m,İngilizce,"$325,000.00","$70,300,000.00"
Grease,07/07/1978 (US),74,Randal Kleiser,,"Romantik,Komedi",1h 50m,İngilizce,"$6,000,000.00","$396,300,000.00"
Crooklyn,13/05/1994 (US),68,Spike Lee,,"Komedi,Dram",1h 55m,İngilizce,"$14,000,000.00",-
Melankoli,26/05/2011 (DK),72,Lars von Trier,,"Dram,Bilim-Kurgu",2h 10m,İngilizce,"$7,400,000.00","$15,946,321.00"
,20/06/1974 (TR),79,Roman Polanski,,"Suç,Dram,Gizem,Gerilim",2h 10m,İngilizce,"$6,000,000.00","$30,000,000.00"
Kong: Kafatası Adası,10/03/2017 (TR),65,Jordan Vogt-Roberts,,"Aksiyon,Macera,Fantastik",2h,İngilizce,"$185,000,000.00","$566,652,812.00"
Iron Man 3,03/05/2013 (TR),69,Shane Black,,"Aksiyon,Macera,Bilim-Kurgu",2h 12m,İngilizce,"$200,000,000.00","$1,215,577,205.00"
,01/03/2024 (US),51,Eric Fogel,Brent Simons,"Animasyon,Komedi,Bilim-Kurgu",1h 25m,İngilizce,-,$9.00
Paragöz,05/11/1970 (US),69,Ronald Neame,,"Fantastik,Dram,Aile",1h 53m,İngilizce,-,-
,13/03/1987 (US),75,Sam Raimi,,"Korku,Komedi,Fantastik",1h 24m,İngilizce,"$3,500,000.00","$10,900,000.00"
Justice League: Crisis on Infinite Earths Part Two,23/04/2024 (US),66,Jeff Wamester,James Krieg,"Animasyon,Bilim-Kurgu,Aksiyon",1h 34m,İngilizce,-,-
Yaratıcı,29/09/2023 (TR),71,Gareth Edwards,,"Aksiyon,Macera,Bilim-Kurgu",2h 14m,İngilizce,"$80,000,000.00","$104,000,000.00"
Metropolis,25/08/1927 (DE),81,Fritz Lang,,"Dram,Bilim-Kurgu",2h 33m,Almanca,"$1,300,000.00","$650,422.00"
,27/10/2017 (US),59,George Clooney,George Clooney,"Gerilim,Suç,Dram,Gizem",1h 45m,İngilizce,"$25,000,000.00","$12,751,667.00"
Sessiz Bir Yer,13/04/2018 (TR),74,John Krasinski,,"Korku,Dram,Bilim-Kurgu",1h 30m,İngilizce,"$17,000,000.00","$341,000,000.00"
Outsource,18/01/2022 (IN),23,John Stephen Baltazar,,"Aksiyon,Komedi",1h 42m,İngilizce,-,-
Can Dostum,01/05/1998 (TR),82,Gus Van Sant,Matt Damon,Dram,2h 7m,İngilizce,"$10,000,000.00","$225,900,000.00"
Zavallılar,09/02/2024 (TR),78,Yorgos Lanthimos,,"Bilim-Kurgu,Romantik,Komedi",2h 22m,İngilizce,"$35,000,000.00","$117,193,959.00"
Ters Yüz,19/06/2015 (TR),79,Pete Docter,,"Animasyon,Aile,Macera,Dram,Komedi",1h 35m,İngilizce,"$175,000,000.00","$857,611,174.00"
,22/12/2017 (TR),62,David Ayer,David Ayer,"Fantastik,Aksiyon,Gerilim",1h 57m,İngilizce,"$90,000,000.00",-
Centilmen,26/11/2010 (GB),59,Anton Corbijn,,"Suç,Dram,Gerilim",1h 44m,İngilizce,"$20,000,000.00","$67,900,000.00"
Vina: Sebelum 7 Hari,08/05/2024 (ID),58,Anggy Umbara,Bounty Umbara,"Dram,Gerilim,Korku,Suç",1h 40m,Endonezce,-,-
Damsel,08/03/2024 (TR),71,Juan Carlos Fresnadillo,,"Fantastik,Aksiyon,Macera",1h 50m,İngilizce,"$60,000,000.00","$5,000.00"
Anne Benim,13/06/2019 (AU),67,Grant Sputore,,"Bilim-Kurgu,Gerilim",1h 53m,İngilizce,-,"$643,593.00"
Dilek,24/11/2023 (TR),65,Fawn Veerasunthorn,,"Animasyon,Aile,Fantastik,Macera",1h 35m,İngilizce,"$175,000,000.00","$251,720,820.00"
,22/11/1995 (US),80,John Lasseter,,"Animasyon,Macera,Aile,Komedi",1h 21m,İngilizce,"$30,000,000.00","$394,436,586.00"
Sıkı Dostlar,28/11/1990 (TR),85,Martin Scorsese,,"Dram,Suç",2h 25m,İngilizce,"$25,000,000.00","$46,800,000.00"
Brightburn: Şeytanın Oğlu,24/05/2019 (US),61,David Yarovesky,,"Korku,Bilim-Kurgu,Gerilim,Gizem",1h 31m,İngilizce,"$6,000,000.00","$33,224,654.00"
Dövüş Kulübü,10/12/1999 (TR),84,David Fincher,Andrew Kevin Walker,Dram,2h 19m,İngilizce,"$63,000,000.00","$100,853,753.00"
Rocky IV,14/03/1986 (TR),71,Sylvester Stallone,Sylvester Stallone,Dram,1h 31m,İngilizce,"$31,000,000.00","$300,500,000.00"
Süper Mario Kardeşler,14/04/2023 (TR),77,Michael Jelenic,Matthew Fogel,"Animasyon,Aile,Macera,Fantastik,Komedi",1h 33m,İngilizce,"$100,000,000.00","$1,362,000,000.00"
Holmes & Watson,25/12/2018 (US),43,Etan Cohen,Etan Cohen,"Gizem,Macera,Komedi,Suç",1h 30m,İngilizce,"$42,000,000.00","$40,500,000.00"
Black Widow,09/07/2021 (TR),73,Cate Shortland,,"Aksiyon,Macera,Bilim-Kurgu",2h 16m,İngilizce,"$200,000,000.00","$379,751,131.00"
Adalet 3: Son,01/09/2023 (TR),74,Antoine Fuqua,Richard Wenk,"Aksiyon,Gerilim,Suç",1h 49m,İngilizce,"$70,000,000.00","$190,000,000.00"
Kaya,07/06/1996 (US),71,Michael Bay,,"Aksiyon,Macera,Gerilim",2h 16m,İngilizce,"$75,000,000.00","$335,062,621.00"
Aslan Kral,19/07/2019 (TR),71,Jon Favreau,,"Macera,Dram,Aile,Animasyon",1h 58m,İngilizce,"$260,000,000.00","$1,663,000,000.00"
Senden Başka,01/03/2024 (TR),71,Will Gluck,,"Romantik,Komedi",1h 44m,İngilizce,"$25,000,000.00","$214,891,370.00"
Çığlık 2,27/03/1998 (TR),65,Wes Craven,,"Korku,Gizem",2h,İngilizce,"$24,000,000.00","$172,400,000.00"
Dublör,26/04/2024 (TR),74,David Leitch,,"Aksiyon,Komedi",2h 7m,İngilizce,"$125,000,000.00","$103,744,920.00"
General,25/12/1926 (US),80,Buster Keaton,,"Komedi,Aksiyon,Macera,Savaş",1h 19m,İngilizce,"$750,000.00","$1,000,000.00"
Detroit,28/07/2017 (US),73,Kathryn Bigelow,,"Suç,Dram,Gerilim,Tarih",2h 23m,İngilizce,"$34,000,000.00","$23,400,000.00"
Manhattan,25/04/1979 (US),77,Woody Allen,,"Komedi,Dram,Romantik",1h 36m,İngilizce,"$9,000,000.00","$40,194,067.00"
Ağaçkakan Woody Yaz Kampında,12/04/2024 (TR),68,Jonathan A. Rosenbaum,,"Aile,Komedi,Animasyon",1h 40m,İngilizce,-,-
Testere X,20/10/2023 (TR),73,Kevin Greutert,Pete Goldfinger,"Korku,Gerilim",1h 58m,İngilizce,"$13,000,000.00","$111,823,047.00"
,03/12/1983 (TR),77,John Landis,John Landis,"Müzik,Komedi,Aksiyon,Suç",2h 13m,İngilizce,"$27,000,000.00","$115,200,000.00"
Gerçeğe Çağrı,26/10/1990 (TR),73,Paul Verhoeven,,"Aksiyon,Macera,Bilim-Kurgu",1h 53m,İngilizce,"$65,000,000.00","$261,317,921.00"
Hellraiser,11/09/1987 (GB),69,Clive Barker,Clive Barker,"Korku,Gerilim,Fantastik",1h 34m,İngilizce,"$1,000,000.00","$14,575,193.00"
Yeni Mutantlar,11/09/2020 (TR),61,Josh Boone,Josh Boone,"Bilim-Kurgu,Korku,Aksiyon,Gizem,Macera",1h 34m,İngilizce,"$67,000,000.00","$49,169,594.00"
Kurye,19/01/2024 (ES),65,Daniel Calparsoro,Alejo Flah,"Gerilim,Suç,Dram",1h 42m,İspanyolca; Kastilyaca,"$5,400,000.00","$1,751,343.00"
,18/02/2000 (TR),80,Sam Mendes,Alan Ball,Dram,2h 2m,İngilizce,"$15,000,000.00","$356,296,601.00"
Çocuk ve Balıkçıl,27/10/2023 (TR),74,Hayao Miyazaki,Hayao Miyazaki,"Animasyon,Macera,Fantastik",2h 4m,Japonca,"$50,000,000.00","$173,588,528.00"
Gerçek Kahraman,13/08/2021 (US),75,Shawn Levy,,"Komedi,Macera,Bilim-Kurgu",1h 55m,İngilizce,"$110,000,000.00","$331,500,000.00"
Maymunlar Cehennemi,20/11/1968 (TR),77,Franklin J. Schaffner,,"Bilim-Kurgu,Macera,Dram,Aksiyon",1h 52m,İngilizce,"$5,800,000.00","$32,589,624.00"
Kurayukaba,12/04/2024 (JP),70,Shigeyoshi Tsukahara,,"Animasyon,Macera,Gizem",1h 2m,Japonca,-,-
,24/11/2006 (TR),82,Martin Scorsese,,"Dram,Gerilim,Suç",2h 31m,İngilizce,"$90,000,000.00","$291,465,000.00"
,15/08/1997 (TR),74,Wes Craven,,"Suç,Korku,Gizem",1h 52m,İngilizce,"$14,000,000.00","$173,100,000.00"
Black Panther: Yaşasın Wakanda,11/11/2022 (TR),71,Ryan Coogler,,"Aksiyon,Macera,Bilim-Kurgu",2h 42m,İngilizce,"$250,000,000.00","$859,102,154.00"
,25/11/2016 (TR),82,Mel Gibson,,"Dram,Tarih,Savaş",2h 19m,İngilizce,"$40,000,000.00","$175,302,354.00"
Infested,27/12/2023 (FR),69,Sébastien Vaniček,Sébastien Vaniček,Korku,1h 46m,Fransızca,-,"$2,110,014.00"
,13/03/2020 (US),66,Craig Zobel,Nick Cuse,"Aksiyon,Gerilim,Korku",1h 30m,İngilizce,"$14,000,000.00","$10,550,350.00"
Gözü Tamamen Kapalı,22/10/1999 (TR),75,Stanley Kubrick,,"Dram,Gerilim,Gizem",2h 39m,İngilizce,"$65,000,000.00","$162,100,000.00"
